epoch,loss,mae,val_loss,val_mae
0,4230.630859375,48.58863067626953,2853.269775390625,45.14790344238281
1,1242.195068359375,27.854944229125977,903.589599609375,22.95217514038086
2,982.0639038085938,24.573383331298828,585.9810180664062,18.17719841003418
3,805.36474609375,22.126258850097656,351.3955078125,13.958466529846191
4,745.4453735351562,21.141172409057617,384.91143798828125,14.824273109436035
5,660.741455078125,19.93931770324707,355.3180236816406,14.168445587158203
6,636.4634399414062,19.459135055541992,849.0658569335938,24.68986701965332
7,587.8577270507812,18.708084106445312,403.1263427734375,15.42608642578125
8,536.7783813476562,17.904422760009766,371.7130126953125,14.510351181030273
9,559.2907104492188,18.32114601135254,383.0419616699219,15.435784339904785
