epoch,loss,mae,val_loss,val_mae
0,12098.2763671875,96.21805572509766,6170.4423828125,69.47306823730469
1,1620.531982421875,32.40814971923828,3339.54443359375,49.240867614746094
2,1292.43603515625,28.482702255249023,1142.9937744140625,26.408964157104492
3,1113.8062744140625,26.32453155517578,6260.494140625,72.81456756591797
4,964.2992553710938,24.323415756225586,2243.177001953125,39.459896087646484
5,902.3956298828125,23.46072006225586,882.4421997070312,22.373056411743164
6,799.1671752929688,21.89735221862793,645.4429321289062,19.123334884643555
7,742.1787109375,21.16935920715332,548.7953491210938,18.253028869628906
8,664.0713500976562,20.01967430114746,518.0214233398438,17.752578735351562
9,628.953125,19.435701370239258,565.8300170898438,17.89533233642578
10,608.2890625,18.973419189453125,457.9977722167969,16.252538681030273
11,570.472900390625,18.340009689331055,457.3246765136719,16.771181106567383
